name,val,sci,common,kingdom,phylum,class,order,family,genus
Little pocket mouse,0.186259257047588,Perognathus longimembris,Little pocket mouse,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Perognathus
souris à pattes blanches,0.187791808355128,Peromyscus leucopus,souris à pattes blanches,Metazoa,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus
Gambian pouched rat,0.190833918825482,Cricetomys gambianus,Gambian pouched rat,Animalia,Chordata,Mammalia,Rodentia,Nesomyidae,Cricetomys
Giant anteater,0.191091309550086,Myrmecophaga tridactyla,Giant anteater,Animalia,Chordata,Mammalia,Pilosa,Myrmecophagidae,Myrmecophaga
Pere David's deer,0.193614628278991,Elaphurus davidianus,Pere David's deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Elaphurus
Brahma cattle,0.196268553414214,Bos indicus,Brahma cattle,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos
Brahma cattle,0.196268553414214,Bos indicus,Brahma cattle,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos
Raccoon dog,0.196336328190823,Nyctereutes procyonoides,Raccoon dog,Metazoa,Chordata,Mammalia,Carnivora,Canidae,Nyctereutes
Barbary sheep,0.197302447202872,Ammotragus lervia,Barbary sheep,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ammotragus
Nilgiri tahr,0.197302447202872,Hemitragus hylocrius,Nilgiri tahr,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Hemitragus
Red Sheep,0.197302447202872,Ovis aries,Red Sheep,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis
Red Sheep,0.197302447202872,Ovis aries,Red Sheep,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis
dingo,0.197398180167432,Canis lupus dingo,dingo,Metazoa,Chordata,Mammalia,Carnivora,Canidae,Canis
domestic dog,0.197398180167432,Canis lupus familiaris,domestic dog,Metazoa,Chordata,Mammalia,Carnivora,Canidae,Canis
Maned Wolf,0.197398180167432,Chrysocyon brachyurus,Maned Wolf,Metazoa,Chordata,Mammalia,Carnivora,Canidae,Chrysocyon
Cheetah,0.197643321991208,Acinonyx jubatus,Cheetah,Metazoa,Chordata,Mammalia,Carnivora,Felidae,Acinonyx
Snowshoe hare,0.19811615838848,Lepus americanus,Snowshoe hare,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus
European Rabbit,0.19811615838848,Oryctolagus cuniculus,European Rabbit,Metazoa,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus
Malayan tapir,0.198899783011082,Tapirus indicus,Malayan tapir,Animalia,Chordata,Mammalia,Perissodactyla,Tapiridae,Tapirus
South American tapir,0.198899783011082,Tapirus terrestris,South American tapir,Animalia,Chordata,Mammalia,Perissodactyla,Tapiridae,Tapirus
Stephens's kangaroo rat,0.199229125566269,Dipodomys stephensi,Stephens's kangaroo rat,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Dipodomys
Rata-canguro común,0.199229125566269,Dipodomys ordii,Rata-canguro común,Metazoa,Chordata,Mammalia,Rodentia,Heteromyidae,Dipodomys
Muskrat,0.199358484629799,Ondatra zibethicus,Muskrat,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ondatra
Gobi jerboa,0.201479491588092,Allactaga bullata,Gobi jerboa,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Allactaga
Hirola,0.204076992706335,Beatragus hunteri,Hirola,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Beatragus
Wild goat,0.204076992706335,Capra aegagrus,Wild goat,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Capra
Wild goat,0.204076992706335,Capra aegagrus,Wild goat,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Capra
domestic goat,0.204076992706335,Capra hircus,domestic goat,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Capra
Transcaucasian mole vole,0.211592429864662,Ellobius lutescens,Transcaucasian mole vole,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ellobius
American Pika,0.212182719181547,Ochotona princeps,American Pika,Metazoa,Chordata,Mammalia,Lagomorpha,Ochotonidae,Ochotona
Peromyscus maniculatus bairdii,0.217488578258693,Peromyscus maniculatus bairdii,Prairie Deer Mouse,Metazoa,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus
Sunda flying lemur,0.217496365269492,Galeopterus variegatus,Sunda flying lemur,Animalia,Chordata,Mammalia,Dermoptera,Cynocephalidae,Galeopterus
Raccoon,0.223646571360068,Procyon lotor,Raccoon,Metazoa,Chordata,Mammalia,Carnivora,Procyonidae,Procyon
Donkey,0.228949390170299,Equus asinus asinus,Donkey,Metazoa,Chordata,Mammalia,Perissodactyla,Equidae,Equus
Przewalski's horse,0.228949390170299,Equus przewalskii,Przewalski's horse,Metazoa,Chordata,Mammalia,Perissodactyla,Equidae,Equus
feral horse,0.228949390170299,Equus caballus,feral horse,Metazoa,Chordata,Mammalia,Perissodactyla,Equidae,Equus
burro,0.228949390170299,Equus asinus,burro,Metazoa,Chordata,Mammalia,Perissodactyla,Equidae,Equus
Bush Dog,0.229042114549984,Speothos venaticus,Bush Dog,Metazoa,Chordata,Mammalia,Carnivora,Canidae,Speothos
Hawaiian monk seal,0.229397482422971,Neomonachus schauinslandi,Hawaiian monk seal,Metazoa,Chordata,Mammalia,Carnivora,Phocidae,Neomonachus
Sumatran rhinoceros,0.229837179856117,Dicerorhinus sumatrensis,Sumatran rhinoceros,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Dicerorhinus
Giant Panda,0.231799612547026,Ailuropoda melanoleuca,Giant Panda,Metazoa,Chordata,Mammalia,Carnivora,Ursidae,Ailuropoda
American black bear,0.231799612547026,Ursus americanus,American Black Bear,Metazoa,Chordata,Mammalia,Carnivora,Ursidae,Ursus
brown bear,0.231799612547026,Ursus arctos horribilis,brown bear,Metazoa,Chordata,Mammalia,Carnivora,Ursidae,Ursus
Polar Bear,0.231799612547026,Ursus maritimus,Polar Bear,Metazoa,Chordata,Mammalia,Carnivora,Ursidae,Ursus
Steller Sea Lion,0.233164926744102,Eumetopias jubatus,Steller Sea Lion,Metazoa,Chordata,Mammalia,Carnivora,Otariidae,Eumetopias
domestic dog,0.233587426382052,Canis lupus familiaris,domestic dog,Metazoa,Chordata,Mammalia,Carnivora,Canidae,Canis
Crested porcupine,0.23419907445112,Hystrix cristata,Crested porcupine,Animalia,Chordata,Mammalia,Rodentia,Hystricidae,Hystrix
Rock hyrax,0.235683943241422,Procavia capensis,Rock hyrax,Animalia,Chordata,Mammalia,Hyracoidea,Procaviidae,Procavia
Java mouse-deer,0.236338114843956,Tragulus javanicus,Java mouse-deer,Animalia,Chordata,Mammalia,Artiodactyla,Tragulidae,Tragulus
Harbour porpoise,0.237042770648497,Phocoena phocoena,Harbour porpoise,Animalia,Chordata,Mammalia,Cetacea,Phocoenidae,Phocoena
white whale,0.237042770648497,Delphinapterus leucas,white whale,Metazoa,Chordata,Mammalia,Artiodactyla,Monodontidae,Delphinapterus
Narwhal,0.237042770648497,Monodon monoceros,Narwhal,Metazoa,Chordata,Mammalia,Artiodactyla,Monodontidae,Monodon
Yangtze finless porpoise,0.237042770648497,Neophocaena asiaeorientalis asiaeorientalis,Yangtze finless porpoise,Metazoa,Chordata,Mammalia,Artiodactyla,Phocoenidae,Neophocaena
cochito,0.237042770648497,Phocoena sinus,cochito,Metazoa,Chordata,Mammalia,Artiodactyla,Phocoenidae,Phocoena
Hippopotamus,0.237200021134911,Hippopotamus amphibius,Hippopotamus,Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus
Gray Mouse Lemur,0.23729966589217,Microcebus murinus,Gray Mouse Lemur,Metazoa,Chordata,Mammalia,Primates,Cheirogaleidae,Microcebus
Gray Mouse Lemur,0.23729966589217,Microcebus murinus,Gray Mouse Lemur,Metazoa,Chordata,Mammalia,Primates,Cheirogaleidae,Microcebus
Gray whale,0.239835408697842,Eschrichtius robustus,Gray whale,Animalia,Chordata,Mammalia,Cetacea,Eschrichtiidae,Eschrichtius
Lesser Egyptian Jerboa,0.242367070249238,Jaculus jaculus,Lesser Egyptian Jerboa,Metazoa,Chordata,Mammalia,Rodentia,Dipodidae,Jaculus
Campbell's hamster,0.242391567668413,Phodopus campbelli,Campbell's hamster,Metazoa,Chordata,Mammalia,Rodentia,Cricetidae,Phodopus
Florida manatee,0.24323635523746,Trichechus manatus latirostris,Florida manatee,Metazoa,Chordata,Mammalia,Sirenia,Trichechidae,Trichechus
Sperm Whale,0.243714613239069,Physeter catodon,Sperm Whale,Metazoa,Chordata,Mammalia,Artiodactyla,Physeteridae,Physeter
Prairie Vole,0.245542148681739,Microtus ochrogaster,Prairie Vole,Metazoa,Chordata,Mammalia,Rodentia,Cricetidae,Microtus
Capybara,0.248490822435371,Hydrochoerus hydrochaeris,Capybara,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Hydrochoerus
One-humped Camel,0.249052414352914,Camelus dromedarius,One-humped Camel,Metazoa,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus
Camelus ferus,0.249052414352914,Camelus ferus,wild Bactrian camel,Metazoa,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus
Naked Mole-rat,0.249358014292225,Heterocephalus glaber,Naked Mole-rat,Metazoa,Chordata,Mammalia,Rodentia,Bathyergidae,Heterocephalus
Naked Mole-rat,0.249358014292225,Heterocephalus glaber,Naked Mole-rat,Metazoa,Chordata,Mammalia,Rodentia,Bathyergidae,Heterocephalus
